,,Rows,,,,,,,,Table 1,,,,,,,
Table 2,,Funct,Ifunct,Trans,Symm,Asymm,Ref,Irref,,,Funct.,iFunct.,Trans.,Symm.,Asymm.,Ref.,Irref.
Columns,Funct,1,1,1,1,1,X,X,,Funct.,-,OK,XNS,OK,OK,OK,OK
,iFunct,2,2,2,2,2,X,X,,iFunct.,OK,-,XNS,OK,OK,OK,OK
,Trans,EM,JS,3,3,3,X,X,,Trans.,XNS,XNS,-,OK,XNS,OK,XNS
,Symm,4,4,4,4,4,X,X,,Symm.,OK,OK,OK,-,XUNSAT,OK,OK
,Asymm,5,5,GDC,EM,5,X,X,,Asymm.,OK,OK,XNS,XUNSAT,-,XUNSAT,OK
,Ref,6,6,6,6,JS,,X,,Ref.,OK,OK,OK,OK,XUNSAT,-,XUNSAT
,Irref,7,7,JS,7,7,GDC,7,,Irref.,OK,OK,XNS,OK,OK,XUNSAT,-
,,,,,,,,,,,,,,,,,
Funct,1,Funct,,,,,,,,,,,,,,,
,Funct,,A,Ai,B,Bi,,,,,,,,,,,
,,A,OK,OK,OK,OK,,,,,,,,,,,
,,Ai,OK,OK,OK,OK,,,,,,,,,,,
,,B,OK,OK,OK,OK,,,,,,,,,,,
,,Bi,OK,OK,OK,OK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2,iFunct,,,,,,,,,,,,,,,
,Funct,,A,Ai,B,Bi,,,,,,,,,,,
,,A,OK,OK,OK,OK,,,,,,,,,,,
,,Ai,OK,OK,OK,OK,,,,,,,,,,,
,,B,OK,OK,OK,OK,,,,,,,,,,,
,,Bi,OK,OK,OK,OK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,3,Symm,,,,,,,,,,,,,,,
,Funct,,A,Ai,B,Bi,,,,,,,,,,,
,,A,OK,OK,OK,OK,,,,,,,,,,,
,,Ai,OK,OK,OK,OK,,,,,,,,,,,
,,B,OK,OK,OK,OK,,,,,,,,,,,
,,Bi,OK,OK,OK,OK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,4,Asymm,,,,,,,,,,,,,,,
,Funct,,A,Ai,B,Bi,,,,,,,,,,,
,,A,OK,OK,OK,OK,,,,,,,,,,,
,,Ai,OK,OK,OK,OK,,,,,,,,,,,
,,B,OK,OK,OK,OK,,,,,,,,,,,
,,Bi,OK,OK,OK,OK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,5,Ref,,,,,,,,,,,,,,,
,Funct,,A,Ai,B,Bi,,Irr,7,Irr,,,,,,,
,,A,Ok,Ok,Ok,Ok,,,Irr,,A,Ai,B,Bi,,,
,,Ai,Ok,Ok,Ok,Ok,,,,A,OK,OK,OK,OK,,,
,,B,Ok,Ok,Ok,Ok,,,,Ai,OK,OK,OK,OK,,,
,,Bi,Ok,Ok,Ok,Ok,,,,B,OK,OK,OK,OK,,,
,,,,,,,,,,Bi,OK,OK,OK,OK,,,
,6,Irref.,,,,,,,,,,,,,,,
,Funct,,A,Ai,B,Bi,,Ref,6,Ref,,,,,,,
,,A,OK,OK,OK,OK,,,Ref,,A,Ai,B,Bi,,,
,,Ai,OK,OK,OK,OK,,,,A,OK,OK,OK,OK,,,
,,B,OK,OK,OK,OK,,,,Ai,OK,OK,OK,OK,,,
,,Bi,OK,OK,OK,OK,,,,B,OK,OK,OK,OK,,,
,,,,,,,,,,Bi,OK,OK,OK,OK,,,
,7,Trans (double checked GDC),,,,,,,,,,,,,,,
,Funct ,,A,Ai,B,Bi,,,7,Irr,,,,,,,
,,A,X,X,X,X,,,Ref,,A,Ai,B,Bi,,,
,,Ai,X,X,X,X,,,,A,X,X,OK,OK,,,
,,B,OK,OK,X,X,,,,Ai,X,X,OK,OK,,,
,,Bi,OK,OK,X,X,,,,B,X,X,X,X,,,
,,,,,,,,,,Bi,X,X,X,X,,,
,,,,,,,,,,,,,,,,,
iFunct,1,Funct,,,,,,Trans,7,Irr (double checked by GDC),,,,,,,
,iFunct,,A,Ai,B,Bi,,,Trans,,A,Ai,B,Bi,,,
,,A,OK,OK,OK,OK,,,,A,X,X,OK,OK,,,
,,Ai,OK,OK,OK,OK,,,,Ai,X,X,OK,OK,,,
,,B,OK,OK,OK,OK,,,,B,X,X,X,X,,,
,,Bi,OK,OK,OK,OK,,,,Bi,X,X,X,X,,,
,,,,,,,,,,,,,,,,,
,2,iFunct,,,,,,,1,Func (double checked by EM),,,,,,,
,iFunct,,A,Ai,B,Bi,,,Trans,,A,Ai,B,Bi,,,
,,A,OK,OK,OK,OK,,,,A,X,X,OK,OK,,,
,,Ai,OK,OK,OK,OK,,,,Ai,X,X,OK,OK,,,
,,B,OK,OK,OK,OK,,,,B,X,X,X,X,,,
,,Bi,OK,OK,OK,OK,,,,Bi,X,X,X,X,,,
,3,Trans,,,,,,,,,,,,,,,
,iFunct,,A,Ai,B,Bi,,,2,iFunct (double checked by EM),,,,,,,
,,A,X,X,X,X,,,Trans,,A,Ai,B,Bi,,,
,,Ai,X,X,X,X,,,,A,X,X,OK,OK,,,
,,B,OK,OK,X,X,,,,Ai,X,X,OK,OK,,,
,,Bi,OK,OK,X,X,,,,B,X,X,X,X,,,
,,,,,,,,,,Bi,X,X,X,X,,,
,4,Symm,,,,,,,,,,,,,,,
,iFunct,,A,Ai,B,Bi,,,3,Trans,,,,,,,
,,A,OK,OK,OK,OK,,,Trans,,A,Ai,B,Bi,,,
,,Ai,OK,OK,OK,OK,,,,A,OK,OK,OK,OK,,,
,,B,OK,OK,OK,OK,,,,Ai,OK,OK,OK,OK,,,
,,Bi,OK,OK,OK,OK,,,,B,OK,OK,OK,OK,,,
,,,,,,,,,,Bi,OK,OK,OK,OK,,,
,5,Asymm,,,,,,,,,,,,,,,
,iFunct,,A,Ai,B,Bi,,,4,Symm,,,,,,,
,,A,OK,OK,OK,OK,,,Trans,,A,Ai,B,Bi,,,
